dtc_code,description,subsystem,category,severity,severity_score,safe_to_drive,immediate_repair,explanation,driver_action
B1249,Blend Door Failure,Body,Body,Low,2,Yes,No,A fault has been detected in a body/comfort control circuit (Blend Door Failure). This typically affects convenience features rather than drivability.,No immediate safety action is required. Schedule a convenience-feature inspection at your convenience.
B1250,Air Temperature Internal Sensor Circuit Failure,Body,Body,Medium,3,Yes,No,"A wiring or circuit-level fault has been detected (Air Temperature Internal Sensor Circuit Failure). This typically points to a damaged connector, wire, or component within the Body subsystem.",Have the affected wiring or connector inspected. Whether you should keep driving depends on which system this circuit belongs to (Body).
B1251,Air Temperature Internal Sensor Circuit Open,Body,Body,Medium,3,Yes,No,"A wiring or circuit-level fault has been detected (Air Temperature Internal Sensor Circuit Open). This typically points to a damaged connector, wire, or component within the Body subsystem.",Have the affected wiring or connector inspected. Whether you should keep driving depends on which system this circuit belongs to (Body).
B1252,Air Temperature Internal Sensor Circuit Short To Battery,Electrical,Electrical,Medium,3,Yes,No,"A fault has been detected in the battery circuit, which can lead to starting problems or unexpected electrical shutdowns.",Inspect the battery and charging system. Carry jump-start equipment until the issue is resolved.
B1253,Air Temperature Internal Sensor Circuit Short To Ground,Body,Body,Medium,3,Yes,No,"A wiring or circuit-level fault has been detected (Air Temperature Internal Sensor Circuit Short To Ground). This typically points to a damaged connector, wire, or component within the Body subsystem.",Have the affected wiring or connector inspected. Whether you should keep driving depends on which system this circuit belongs to (Body).
B1254,Air Temperature External Sensor Circuit Failure,Body,Body,Medium,3,Yes,No,"A wiring or circuit-level fault has been detected (Air Temperature External Sensor Circuit Failure). This typically points to a damaged connector, wire, or component within the Body subsystem.",Have the affected wiring or connector inspected. Whether you should keep driving depends on which system this circuit belongs to (Body).
B1255,Air Temperature External Sensor Circuit Open,Body,Body,Medium,3,Yes,No,"A wiring or circuit-level fault has been detected (Air Temperature External Sensor Circuit Open). This typically points to a damaged connector, wire, or component within the Body subsystem.",Have the affected wiring or connector inspected. Whether you should keep driving depends on which system this circuit belongs to (Body).
B1256,Air Temperature External Sensor Circuit Short To Battery,Electrical,Electrical,Medium,3,Yes,No,"A fault has been detected in the battery circuit, which can lead to starting problems or unexpected electrical shutdowns.",Inspect the battery and charging system. Carry jump-start equipment until the issue is resolved.
B1257,Air Temperature External Sensor Circuit Short To Ground,Body,Body,Medium,3,Yes,No,"A wiring or circuit-level fault has been detected (Air Temperature External Sensor Circuit Short To Ground). This typically points to a damaged connector, wire, or component within the Body subsystem.",Have the affected wiring or connector inspected. Whether you should keep driving depends on which system this circuit belongs to (Body).
B1258,Solar Radiation Sensor Circuit Failure,Body,Body,Medium,3,Yes,No,"A wiring or circuit-level fault has been detected (Solar Radiation Sensor Circuit Failure). This typically points to a damaged connector, wire, or component within the Body subsystem.",Have the affected wiring or connector inspected. Whether you should keep driving depends on which system this circuit belongs to (Body).
B1259,Solar Radiation Sensor Circuit Open,Body,Body,Medium,3,Yes,No,"A wiring or circuit-level fault has been detected (Solar Radiation Sensor Circuit Open). This typically points to a damaged connector, wire, or component within the Body subsystem.",Have the affected wiring or connector inspected. Whether you should keep driving depends on which system this circuit belongs to (Body).
B1260,Solar Radiation Sensor Circuit Short To Battery,Electrical,Electrical,Medium,3,Yes,No,"A fault has been detected in the battery circuit, which can lead to starting problems or unexpected electrical shutdowns.",Inspect the battery and charging system. Carry jump-start equipment until the issue is resolved.
B1261,Solar Radiation Sensor Circuit Short To Ground,Body,Body,Medium,3,Yes,No,"A wiring or circuit-level fault has been detected (Solar Radiation Sensor Circuit Short To Ground). This typically points to a damaged connector, wire, or component within the Body subsystem.",Have the affected wiring or connector inspected. Whether you should keep driving depends on which system this circuit belongs to (Body).
B1262,Servo Motor Defrost Circuit Failure,Body,Body,Medium,3,Yes,No,"A wiring or circuit-level fault has been detected (Servo Motor Defrost Circuit Failure). This typically points to a damaged connector, wire, or component within the Body subsystem.",Have the affected wiring or connector inspected. Whether you should keep driving depends on which system this circuit belongs to (Body).
B1263,Servo Motor Vent Circuit Failure,Body,Body,Medium,3,Yes,No,"A wiring or circuit-level fault has been detected (Servo Motor Vent Circuit Failure). This typically points to a damaged connector, wire, or component within the Body subsystem.",Have the affected wiring or connector inspected. Whether you should keep driving depends on which system this circuit belongs to (Body).
B1264,Servo Motor Foot Circuit Failure,Body,Body,Medium,3,Yes,No,"A wiring or circuit-level fault has been detected (Servo Motor Foot Circuit Failure). This typically points to a damaged connector, wire, or component within the Body subsystem.",Have the affected wiring or connector inspected. Whether you should keep driving depends on which system this circuit belongs to (Body).
B1265,Servo Motor Coolair Bypass Circuit Failure,Body,Body,Medium,3,Yes,No,"A wiring or circuit-level fault has been detected (Servo Motor Coolair Bypass Circuit Failure). This typically points to a damaged connector, wire, or component within the Body subsystem.",Have the affected wiring or connector inspected. Whether you should keep driving depends on which system this circuit belongs to (Body).
B1266,Servo Motor Airintake Left Circuit Failure,Body,Body,Medium,3,Yes,No,"A wiring or circuit-level fault has been detected (Servo Motor Airintake Left Circuit Failure). This typically points to a damaged connector, wire, or component within the Body subsystem.",Have the affected wiring or connector inspected. Whether you should keep driving depends on which system this circuit belongs to (Body).
B1267,Servo Motor Airintake Right Circuit Failure,Body,Body,Medium,3,Yes,No,"A wiring or circuit-level fault has been detected (Servo Motor Airintake Right Circuit Failure). This typically points to a damaged connector, wire, or component within the Body subsystem.",Have the affected wiring or connector inspected. Whether you should keep driving depends on which system this circuit belongs to (Body).
B1268,Servo Motor Potentiometer Defrost Circuit Failure,Body,Body,Medium,3,Yes,No,"A wiring or circuit-level fault has been detected (Servo Motor Potentiometer Defrost Circuit Failure). This typically points to a damaged connector, wire, or component within the Body subsystem.",Have the affected wiring or connector inspected. Whether you should keep driving depends on which system this circuit belongs to (Body).
B1269,Servo Motor Potentiometer Defrost Circuit Open,Body,Body,Medium,3,Yes,No,"A wiring or circuit-level fault has been detected (Servo Motor Potentiometer Defrost Circuit Open). This typically points to a damaged connector, wire, or component within the Body subsystem.",Have the affected wiring or connector inspected. Whether you should keep driving depends on which system this circuit belongs to (Body).
B1270,Servo Motor Potentiometer Defrost Circuit Short To Battery,Electrical,Electrical,Medium,3,Yes,No,"A fault has been detected in the battery circuit, which can lead to starting problems or unexpected electrical shutdowns.",Inspect the battery and charging system. Carry jump-start equipment until the issue is resolved.
B1271,Servo Motor Potentiometer Defrost Circuit Short To Ground,Body,Body,Medium,3,Yes,No,"A wiring or circuit-level fault has been detected (Servo Motor Potentiometer Defrost Circuit Short To Ground). This typically points to a damaged connector, wire, or component within the Body subsystem.",Have the affected wiring or connector inspected. Whether you should keep driving depends on which system this circuit belongs to (Body).
B1272,Servo Motor Potentiometer Vent Circuit Failure,Body,Body,Medium,3,Yes,No,"A wiring or circuit-level fault has been detected (Servo Motor Potentiometer Vent Circuit Failure). This typically points to a damaged connector, wire, or component within the Body subsystem.",Have the affected wiring or connector inspected. Whether you should keep driving depends on which system this circuit belongs to (Body).
B1273,Servo Motor Potentiometer Vent Circuit Open,Body,Body,Medium,3,Yes,No,"A wiring or circuit-level fault has been detected (Servo Motor Potentiometer Vent Circuit Open). This typically points to a damaged connector, wire, or component within the Body subsystem.",Have the affected wiring or connector inspected. Whether you should keep driving depends on which system this circuit belongs to (Body).
B1274,Servo Motor Potentiometer Vent Circuit Short To Battery,Electrical,Electrical,Medium,3,Yes,No,"A fault has been detected in the battery circuit, which can lead to starting problems or unexpected electrical shutdowns.",Inspect the battery and charging system. Carry jump-start equipment until the issue is resolved.
B1275,Servo Motor Potentiometer Vent Circuit Short To Ground,Body,Body,Medium,3,Yes,No,"A wiring or circuit-level fault has been detected (Servo Motor Potentiometer Vent Circuit Short To Ground). This typically points to a damaged connector, wire, or component within the Body subsystem.",Have the affected wiring or connector inspected. Whether you should keep driving depends on which system this circuit belongs to (Body).
B1276,Servo Motor Potentiometer Foot Circuit Failure,Body,Body,Medium,3,Yes,No,"A wiring or circuit-level fault has been detected (Servo Motor Potentiometer Foot Circuit Failure). This typically points to a damaged connector, wire, or component within the Body subsystem.",Have the affected wiring or connector inspected. Whether you should keep driving depends on which system this circuit belongs to (Body).
B1277,Servo Motor Potentiometer Foot Circuit Open,Body,Body,Medium,3,Yes,No,"A wiring or circuit-level fault has been detected (Servo Motor Potentiometer Foot Circuit Open). This typically points to a damaged connector, wire, or component within the Body subsystem.",Have the affected wiring or connector inspected. Whether you should keep driving depends on which system this circuit belongs to (Body).
B1278,Servo Motor Potentiometer Foot Circuit Short To Battery,Electrical,Electrical,Medium,3,Yes,No,"A fault has been detected in the battery circuit, which can lead to starting problems or unexpected electrical shutdowns.",Inspect the battery and charging system. Carry jump-start equipment until the issue is resolved.
B1279,Servo Motor Potentiometer Foot Circuit Short To Ground,Body,Body,Medium,3,Yes,No,"A wiring or circuit-level fault has been detected (Servo Motor Potentiometer Foot Circuit Short To Ground). This typically points to a damaged connector, wire, or component within the Body subsystem.",Have the affected wiring or connector inspected. Whether you should keep driving depends on which system this circuit belongs to (Body).
B1280,Servo Motor Potentiometer Coolair Circuit Failure,Body,Body,Medium,3,Yes,No,"A wiring or circuit-level fault has been detected (Servo Motor Potentiometer Coolair Circuit Failure). This typically points to a damaged connector, wire, or component within the Body subsystem.",Have the affected wiring or connector inspected. Whether you should keep driving depends on which system this circuit belongs to (Body).
B1281,Servo Motor Potentiometer Coolair Circuit Open,Body,Body,Medium,3,Yes,No,"A wiring or circuit-level fault has been detected (Servo Motor Potentiometer Coolair Circuit Open). This typically points to a damaged connector, wire, or component within the Body subsystem.",Have the affected wiring or connector inspected. Whether you should keep driving depends on which system this circuit belongs to (Body).
B1282,Servo Motor Potentiometer Coolair Circuit Short To Battery,Electrical,Electrical,Medium,3,Yes,No,"A fault has been detected in the battery circuit, which can lead to starting problems or unexpected electrical shutdowns.",Inspect the battery and charging system. Carry jump-start equipment until the issue is resolved.
B1283,Servo Motor Potentiometer Coolair Circuit Short To Ground,Body,Body,Medium,3,Yes,No,"A wiring or circuit-level fault has been detected (Servo Motor Potentiometer Coolair Circuit Short To Ground). This typically points to a damaged connector, wire, or component within the Body subsystem.",Have the affected wiring or connector inspected. Whether you should keep driving depends on which system this circuit belongs to (Body).
B1284,Servo Motor Potentiometer Airintake Left Circuit Failure,Body,Body,Medium,3,Yes,No,"A wiring or circuit-level fault has been detected (Servo Motor Potentiometer Airintake Left Circuit Failure). This typically points to a damaged connector, wire, or component within the Body subsystem.",Have the affected wiring or connector inspected. Whether you should keep driving depends on which system this circuit belongs to (Body).
B1285,Servo Motor Potentiometer Airintake Left Circuit Open,Body,Body,Medium,3,Yes,No,"A wiring or circuit-level fault has been detected (Servo Motor Potentiometer Airintake Left Circuit Open). This typically points to a damaged connector, wire, or component within the Body subsystem.",Have the affected wiring or connector inspected. Whether you should keep driving depends on which system this circuit belongs to (Body).
B1286,Servo Motor Potentiometer Airintake Left Circuit Short To Battery,Electrical,Electrical,Medium,3,Yes,No,"A fault has been detected in the battery circuit, which can lead to starting problems or unexpected electrical shutdowns.",Inspect the battery and charging system. Carry jump-start equipment until the issue is resolved.
B1287,Servo Motor Potentiometer Airintake Left Circuit Short To Ground,Body,Body,Medium,3,Yes,No,"A wiring or circuit-level fault has been detected (Servo Motor Potentiometer Airintake Left Circuit Short To Ground). This typically points to a damaged connector, wire, or component within the Body subsystem.",Have the affected wiring or connector inspected. Whether you should keep driving depends on which system this circuit belongs to (Body).
B1288,Servo Motor Potentiometer Airintake Right Circuit Failure,Body,Body,Medium,3,Yes,No,"A wiring or circuit-level fault has been detected (Servo Motor Potentiometer Airintake Right Circuit Failure). This typically points to a damaged connector, wire, or component within the Body subsystem.",Have the affected wiring or connector inspected. Whether you should keep driving depends on which system this circuit belongs to (Body).
B1289,Servo Motor Potentiometer Airintake Right Circuit Open,Body,Body,Medium,3,Yes,No,"A wiring or circuit-level fault has been detected (Servo Motor Potentiometer Airintake Right Circuit Open). This typically points to a damaged connector, wire, or component within the Body subsystem.",Have the affected wiring or connector inspected. Whether you should keep driving depends on which system this circuit belongs to (Body).
B1290,Servo Motor Potentiometer Airintake Right Circuit Short To Battery,Electrical,Electrical,Medium,3,Yes,No,"A fault has been detected in the battery circuit, which can lead to starting problems or unexpected electrical shutdowns.",Inspect the battery and charging system. Carry jump-start equipment until the issue is resolved.
B1291,Servo Motor Potentiometer Airintake Right Circuit Short To Ground,Body,Body,Medium,3,Yes,No,"A wiring or circuit-level fault has been detected (Servo Motor Potentiometer Airintake Right Circuit Short To Ground). This typically points to a damaged connector, wire, or component within the Body subsystem.",Have the affected wiring or connector inspected. Whether you should keep driving depends on which system this circuit belongs to (Body).
B1292,Battery Power Relay Circuit Failure,Electrical,Electrical,Medium,3,Yes,No,"A fault has been detected in the battery circuit, which can lead to starting problems or unexpected electrical shutdowns.",Inspect the battery and charging system. Carry jump-start equipment until the issue is resolved.
B1293,Battery Power Relay Circuit Open,Electrical,Electrical,Medium,3,Yes,No,"A fault has been detected in the battery circuit, which can lead to starting problems or unexpected electrical shutdowns.",Inspect the battery and charging system. Carry jump-start equipment until the issue is resolved.
B1294,Battery Power Relay Circuit Short To Battery,Electrical,Electrical,Medium,3,Yes,No,"A fault has been detected in the battery circuit, which can lead to starting problems or unexpected electrical shutdowns.",Inspect the battery and charging system. Carry jump-start equipment until the issue is resolved.
B1295,Battery Power Relay Circuit Short To Ground,Electrical,Electrical,Medium,3,Yes,No,"A fault has been detected in the battery circuit, which can lead to starting problems or unexpected electrical shutdowns.",Inspect the battery and charging system. Carry jump-start equipment until the issue is resolved.
B1296,Power Supply Sensor Circuit Failure,Body,Body,Medium,3,Yes,No,"A wiring or circuit-level fault has been detected (Power Supply Sensor Circuit Failure). This typically points to a damaged connector, wire, or component within the Body subsystem.",Have the affected wiring or connector inspected. Whether you should keep driving depends on which system this circuit belongs to (Body).
B1297,Power Supply Sensor Circuit Open,Body,Body,Medium,3,Yes,No,"A wiring or circuit-level fault has been detected (Power Supply Sensor Circuit Open). This typically points to a damaged connector, wire, or component within the Body subsystem.",Have the affected wiring or connector inspected. Whether you should keep driving depends on which system this circuit belongs to (Body).
B1298,Power Supply Sensor Circuit Short To Battery,Electrical,Electrical,Medium,3,Yes,No,"A fault has been detected in the battery circuit, which can lead to starting problems or unexpected electrical shutdowns.",Inspect the battery and charging system. Carry jump-start equipment until the issue is resolved.
B1299,Power Supply Sensor Circuit Short To Ground,Body,Body,Medium,3,Yes,No,"A wiring or circuit-level fault has been detected (Power Supply Sensor Circuit Short To Ground). This typically points to a damaged connector, wire, or component within the Body subsystem.",Have the affected wiring or connector inspected. Whether you should keep driving depends on which system this circuit belongs to (Body).
B1300,Power Door Lock Circuit Failure,Body,Body,Low,2,Yes,No,A fault has been detected in a body/comfort control circuit (Power Door Lock Circuit Failure). This typically affects convenience features rather than drivability.,No immediate safety action is required. Schedule a convenience-feature inspection at your convenience.
B1301,Power Door Lock Circuit Open,Body,Body,Low,2,Yes,No,A fault has been detected in a body/comfort control circuit (Power Door Lock Circuit Open). This typically affects convenience features rather than drivability.,No immediate safety action is required. Schedule a convenience-feature inspection at your convenience.
